phenotype_hash,hpwl,congestion_top10,normalized_hpwl,normalized_congestion_top10,nondominated
5afd1932316dc3a0a927962f016793bffde949abc540b9ac48675f03ba1fd7e4,580369.0,0.009555078111588955,0.04545454545454541,0.04618668777510499,True
39f3f4a604afa8cd6b74560b8955f9c1abe3eb5dba1be7b6eb0f85e77224b422,630576.0,0.01055185403674841,0.10723200369192795,0.10337104761225747,False
e22775208e8489c80e2da024aeddac4c73c061fd4fc05ab0376aaf04edd2a1ad,636367.0,0.010584186762571335,0.1143575690643398,0.10522595419788594,False
f018b9928182f39327daa4f4268dd185e1fcb3a861ad38322d9e523738479fbd,647244.0,0.01000305637717247,0.1277412289772605,0.0718868975130691,False
2bb84ab839061b00591740c849012a03338a84fe11f774f9eb5a0b73f0f40483,650149.0,0.010533960536122322,0.13131570098673323,0.10234450959832542,False
30fec0d9e7c1e83811dc2f2dffa7c03aeee25961c09528980d5242b0d757c905,647938.0,0.009890932589769363,0.12859516480327568,0.06545443175689833,False
4c9039abef93e22359d573d5bcff0b3726364c1d1e3912ad102fd173ff441db9,642821.0,0.011104603298008442,0.12229892615526472,0.1350818984241463,False
2c323c5a537cbe11a155cc971ef69ba82691bca9ca3945ead7ec91ab77b2ca87,645983.0,0.009716156870126724,0.1261896251204808,0.05542766707431117,False
36df6059ca636752a2496145ccfaefd703aad274fb283ffaa3342cdec7c3b58c,645983.0,0.009716156870126724,0.1261896251204808,0.05542766707431117,False
8c00fc1fbd57890342d60f1fbd7bbd3a3bc981db6c17139af1b32c946f11e292,645983.0,0.009716156870126724,0.1261896251204808,0.05542766707431117,False
4ec710102c305c50b9a1d01fa6f471b5afe7a7fdd18d3861c8d13c5f801672ca,645099.0,0.009970822371542454,0.12510190282913006,0.07003765443805725,False
c79916e63e1b895e7af4a27b2fcb26a45372e63960dbd1be0a370f3de3ea56c0,654026.0,0.010359810665249825,0.13608617533465944,0.09235364943587371,False
e33a44461dd6ec76abe7cadfb8ae54af8ffbadb7eae88787e513d20bf19ee7b4,662426.0,0.011068902909755707,0.14642199801265282,0.13303379132540807,False
f28eb51381bf387d63c373809fdff80d59f181f5dfe11d34a547d730a4f8aae4,650281.0,0.011093785054981709,0.1314781210573874,0.1344612631475193,False
1d605f23f84697b16931631df4fb79948c060629b97e8fd273556f6c6ef849fd,651370.0,0.01132021564990282,0.1328180866402844,0.1474514330455714,False
