front_index,hpwl,congestion_top10,normalized_hpwl,normalized_congestion_top10
0,642068.1964285689,0.007272904273122549,0.12137263517601807,-0.08474007991234857
1,635272.9999999977,0.007322173565626144,0.11301145120603638,-0.08191353396522728
2,633544.9821428548,0.007442796602845192,0.11088520285415132,-0.07499347200257422
3,633535.5357142834,0.007499986328184605,0.11087357944812094,-0.07171253618716142
4,577878.999999998,0.009084096178412437,0.042390712303566364,0.019166773204781436
5,577878.999999998,0.009084096178412437,0.042390712303566364,0.019166773204781436
6,580115.3928571407,0.008840545080602169,0.045142493257109007,0.005194411649512174
7,627021.0892857078,0.007756498642265797,0.10285784574204426,-0.056996598431408495
8,626291.6964285651,0.007760635111480951,0.10196036059513686,-0.05675929199363828
9,622373.6785714224,0.007806294597685337,0.0971394156164894,-0.0541398381894411
10,606680.2321428533,0.007843542844057083,0.07782933472455154,-0.05200293151858215
11,606632.5535714248,0.007871253415942192,0.07777066838409616,-0.050413194774370694
12,606584.8749999962,0.007875102572143078,0.07771200204364062,-0.05019237128966861
13,591499.6964285679,0.007932613603770733,0.05915036742695632,-0.046893002350079115
14,586248.7678571399,0.007962855510413647,0.05268933568777914,-0.04515804464496268
15,584726.26785714,0.008077392354607582,0.05081596782739299,-0.038587143454757764
16,582505.5892857116,0.008119183592498302,0.04808352259654732,-0.036189608436844184
17,578846.0357142829,0.009001226164400578,0.04358060631143958,0.014412576618215616
18,581797.6428571397,0.008801503106951714,0.047212426316637995,0.002954600059336454
19,579418.1785714256,0.00894143432378769,0.044284602396904786,0.010982359211644413
20,579738.1607142828,0.008893081918358803,0.044678326050320974,0.008208414455108476
21,581797.6428571397,0.008801503106951714,0.047212426316637995,0.002954600059336454
22,580707.6607142829,0.008840108290314674,0.04587125225107285,0.005169353286500976
