method,seed,front_index,phenotype_hash,hpwl,congestion_top10,normalized_hpwl,normalized_congestion_top10
moead,1,0,c787fd090c5e5e7944ac93352c36faecc5473da6c9270ccb70f83508696178ec,680342.2499999971,0.007784825284034014,0.16846713885248243,-0.05537151817518871
moead,1,1,b48eb10aa5019b68a64f8d23254fe6608290ac49dcd2623dc507c8c88935dc64,678624.9642857115,0.007786958012729883,0.16635409592030304,-0.055249164974131904
moead,1,2,560c3d746944aedc1ca812c645bf1de68e5d809e6d27cd3593eb25e3cc888d77,599316.4821428526,0.008373819291591644,0.06876857112394667,-0.021581330812152164
moead,1,3,e1a99a1cb38829e2b92137f835690251a6178aa357f066cf5bee5eb4a0e737c0,598648.2857142813,0.008392393589019775,0.06794638543349642,-0.020515735946703712
moead,1,4,fe5f2bb635b4553fc0bb6561f51d8606b6b7cd959cac64cb702dcab5f0a1d113,594854.3749999958,0.008471814915537834,0.06327814871933052,-0.01595938822630093
moead,1,5,497800ac214bc86e7f2093c0797f73b1f6052f321804dc3a0c14b8015d7b783c,591630.9285714246,0.008680298924446106,0.059311842683887256,-0.003998801814870948
moead,1,6,cdcd216121313a95c32629d307dd7d15baf9b9a9813cd3ac586238434d662dba,591630.9285714246,0.008680298924446106,0.059311842683887256,-0.003998801814870948
nsga2,1,0,be925eacbe6463c0c32e14eb261e6a00aecdc20e396aa18c9afb6f22b0dee569,587070.3035714255,0.008930123411118984,0.05370019848140941,0.010333459811279819
nsga2,1,1,b413dcbf5dd4e70bd74fb5ffc5cdd74ac4ef2ce5c48bf58e783d1494f885b59d,587070.3035714255,0.008930123411118984,0.05370019848140941,0.010333459811279819
nsga2,1,2,adcc13d86f7ad858ad6b80372e0679b3924a638d6dcf56ba9ab99e27e426a663,606072.5892857099,0.00871113408356905,0.07708165748372015,-0.0022298096167094566
nsga2,1,3,526dadaaa95e501e6de3d3da2abfc3ca31460b7bc5d5490119ec2dcff52701bd,606072.5892857099,0.00871113408356905,0.07708165748372015,-0.0022298096167094566
nsga2,1,4,3d5c2cfc33aab89b74eae5f9c71edd44f45f229b9a33588ac560034ca412172f,589577.9999999967,0.008732571266591549,0.05678580629283199,-0.0009999729433795093
nsga2,1,5,bdd0ce74e0697f569719883d149eef96ae1718b2af875261374ded48b9285387,603399.7499999957,0.00873061828315258,0.07379284880468248,-0.001112014280766463
nsga2,1,6,66df0b113be5de1d3a60c6833c92b4fa39e2ac8aff5faba08a0f595bc5ff25b4,587070.3035714256,0.008884177543222904,0.053700198481409556,0.007697576483359947
nsga2,1,7,a56dae825cbbc19b865b1e5fc4581b13d018aebbad77b88691a9f1fc42c7d6a8,588247.4464285683,0.008770433254539967,0.05514861989070642,0.0011721436661241696
nsga2,1,8,90ca5f487987b9797a24a8efa98e4202243d8d83a7da7c00e9e827144fd11da5,588074.232142854,0.008809593506157398,0.05493548749279708,0.0034187407831707253
nsga2,1,9,37348360b62e39f04624e7307d234135354f519a40edcbcd21ec44517982447e,605046.196428567,0.008724742569029331,0.0758187271778407,-0.0014491000211452377
nsga2,1,10,bfb98e8b9056b1cfb358601f77ee40211b4fe20c0a953187eb4ce9cc59d8c82a,588957.6964285681,0.00875074788928032,0.05602255061178289,4.280759156621068e-05
nsga2,1,11,f5431281888afbfc0fdc1726f192942f52f47154a7245669069edf3549920918,587666.9464285683,0.008844315074384212,0.05443434071635224,0.005410693639851892
nsga2,1,12,c3cad5ade61841f21c0a51b9184906b0b7d8522912ac2d244c75b5bafe484958,587741.5178571398,0.008835234679281712,0.05452609750951407,0.00488975752181527
nsga2,1,13,2d3e2eb07cbb587517cfb3aed94f55a80203ad4b3f119d91b6ddd53ef81a02d5,587906.3035714254,0.008816735818982124,0.05472885892888575,0.003828490433347429
nsga2,1,14,2d21082a5aba4c362b358be217e6b95fbb2e4bd754321f2399606549f19a6d47,587595.0892857113,0.008866086602210999,0.05434592372983823,0.006659711448194675
nsga2,1,15,8e11f5659dc05ab0aac153c33af89f668895b381f1c275ef49347117e44cfc92,588533.8392857111,0.008763252757489681,0.05550101343685774,0.00076020341278444
nsga2,1,16,98be11315de88d06747f931e6da81c165e815f7aa8657cd5af129b301e043eef,605786.5178571384,0.008716613985598087,0.0767296594409874,-0.0019154313481425345
nsga2,1,17,30a721898c841b3faefdd0b24127a25e0b31f12350be85c8f999fb888d0589dc,589291.6071428538,0.00873923022300005,0.056433412746680386,-0.0006179531234859857
nsga2,1,18,318de4f446b263c8edd21079be1a06874411ae4dc10484f7ffedfed129af4bab,603638.2499999957,0.008725951425731182,0.07408631234143265,-0.0013797487307645672
nsga2,1,19,45d83b6b7d77363354611034fbe35f9fcb4714f9a1ea984cacf24456ff831800,587350.8392857112,0.008869563229382038,0.05404538507637382,0.006859163194720902
moead,2,0,c05e7a8b04796821e65c00f504158d8291761204f62c41d207514a3d88d80250,642068.1964285689,0.007272904273122549,0.12137263517601807,-0.08474007991234857
moead,2,1,47b6a0de19d82fb3b9bad80ccc9cb65951f3a84dd57a173c6b29aa55ea6c04cb,635272.9999999977,0.007322173565626144,0.11301145120603638,-0.08191353396522728
moead,2,2,47aa87254beae7db4d75db23321a58c84bb7205ac64ee623bda12d634100cc74,633544.9821428548,0.007442796602845192,0.11088520285415132,-0.07499347200257422
moead,2,3,e6d3b6189a59ce32297932d041654445b72336ebb5c330292ab24064335c2fca,633535.5357142834,0.007499986328184605,0.11087357944812094,-0.07171253618716142
moead,2,4,79b1dcd65acb3d56557618e748ed65ee7a815d929375e1f3807f4469adfd6ec7,592547.1249999957,0.00872312393039465,0.06043918123435416,-0.0015419602235193558
moead,2,5,224319896c783c82868f40f8797b69426b889e59fc3402f77c8afbb9c898a216,588869.3214285674,0.008901955559849739,0.05591380914402398,0.008717489258457495
moead,2,6,ec49ae7a91759584ffc4dc0a446624c89b0062ba5cbe0763c6510325e422142c,587378.3035714246,0.009020593017339706,0.054079178646268024,0.015523639856633213
nsga2,2,0,18f426243f90335fa9ff9c1c7d133620bfcd0b25622ef51a734066a83e1cb19c,683728.9999999959,0.008241959847509861,0.17263438259708744,-0.029146017827534645
nsga2,2,1,a753ad709005b864acf51b76e6f327146ba3d0ec1081e66346ad406dfb13afd3,683728.9999999959,0.008241959847509861,0.17263438259708744,-0.029146017827534645
nsga2,2,2,13192ce36f66e3154ff6084da50baef6f6d32600dd44c4501b4a8e6e80e2a370,588484.660714282,0.008903269656002522,0.05544050141378057,0.008792878064872845
nsga2,2,3,ad86356b63d210e28ffcc35b6ae8fc8b1049f8829ffea5d9684e1867f3e75279,588484.660714282,0.008903269656002522,0.05544050141378057,0.008792878064872845
nsga2,2,4,4906973ca5e053de725131642c63187a680cdfd7f4d2c59b09caaf0f9263f168,661310.4999999978,0.008574224077165127,0.1450494253701142,-0.010084243972411179
